course,pl,unit_or_candidate_id,record_type,source_located,binary_local,binary_readable,content_read,boundary_confirmed,extraction_status,model_status,authority_dependency,immediately_executable,ready_to_emit_pptx,blocker_owner,exact_blocker,next_executable_action
"K5","PL06","K5-PL06-T01-B01","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T01-B02","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T01-B03","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T02-B01","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T02-B02","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T03-B01","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T03-B02","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","PACKAGED","NONE","False","False","none","none — delivered","none"
"K5","PL06","K5-PL06-T03-B03","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T03-B04","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
"K5","PL06","K5-PL06-T03-B05","CONFIRMED_PRODUCTION_UNIT","True","True","True","True","True","EXTRACTED","MODEL_READY","K5_Pakej_Keputusan_Corak_Bariah_Kelompok0_v1_2.docx","True","False","BARIAH","pattern package under review; STOP-006 cast binding open","await pattern decisions, then project the model"
